concept_id,preferred_term,fsn
423114009,"Infiltrating ductal carcinoma of breast, stage 3","Infiltrating ductal carcinoma of breast, stage 3 (disorder)"
422479008,"Infiltrating ductal carcinoma of breast, stage 2","Infiltrating ductal carcinoma of breast, stage 2 (disorder)"
422399001,"Infiltrating ductal carcinoma of breast, stage 1","Infiltrating ductal carcinoma of breast, stage 1 (disorder)"
417181009,Hormone receptor positive malignant neoplasm of breast,Hormone receptor positive malignant neoplasm of breast (disorder)
408643008,Infiltrating duct carcinoma of breast,Infiltrating duct carcinoma of breast (disorder)
403946000,Paget's disease of nipple,Paget's disease of nipple (disorder)
403458008,Localized skin involvement by breast carcinoma,Localized skin involvement by breast carcinoma (disorder)
373091001,Primary malignant neoplasm of lower outer quadrant of breast,Primary malignant neoplasm of lower outer quadrant of breast (disorder)
373090000,Primary malignant neoplasm of lower inner quadrant of breast,Primary malignant neoplasm of lower inner quadrant of breast (disorder)
373089009,Primary malignant neoplasm of upper inner quadrant of breast,Primary malignant neoplasm of upper inner quadrant of breast (disorder)
373088001,Primary malignant neoplasm of upper outer quadrant of breast,Primary malignant neoplasm of upper outer quadrant of breast (disorder)
373083005,Malignant neoplasm of upper outer quadrant of breast,Malignant neoplasm of upper outer quadrant of breast (disorder)
373082000,Malignant neoplasm of upper inner quadrant of breast,Malignant neoplasm of upper inner quadrant of breast (disorder)
373081007,Malignant neoplasm of lower outer quadrant of breast,Malignant neoplasm of lower outer quadrant of breast (disorder)
373080008,Malignant neoplasm of lower inner quadrant of breast,Malignant neoplasm of lower inner quadrant of breast (disorder)
372137005,Primary malignant neoplasm of breast,Primary malignant neoplasm of breast (disorder)
372094002,Malignant neoplasm of axillary tail of breast,Malignant neoplasm of axillary tail of breast (disorder)
372093008,Metastatic malignant neoplasm to axillary tail of breast,Metastatic malignant neoplasm to axillary tail of breast (disorder)
372092003,Primary malignant neoplasm of axillary tail of breast,Primary malignant neoplasm of axillary tail of breast (disorder)
314955001,Local recurrence of malignant neoplasm of breast,Local recurrence of malignant neoplasm of breast (disorder)
286897001,Carcinoma of breast - axillary tail,Carcinoma of breast - axillary tail (disorder)
286896005,"Carcinoma breast - lower, outer quadrant","Carcinoma breast - lower, outer quadrant (disorder)"
286895009,Carcinoma of upper outer quadrant of breast,Carcinoma of upper outer quadrant of breast (disorder)
286894008,"Carcinoma of breast - lower, inner quadrant","Carcinoma of breast - lower, inner quadrant (disorder)"
286893002,"Carcinoma of breast - upper, inner quadrant","Carcinoma of breast - upper, inner quadrant (disorder)"
278054005,Infiltrating lobular carcinoma of breast,Lobular carcinoma of breast (disorder)
278052009,Malignant lymphoma of breast,Malignant lymphoma of breast (disorder)
278050001,Sarcoma of breast,Sarcoma of breast (disorder)
271467005,"Malignant neoplasm of bone, connective tissue, skin and breast","Malignant neoplasm of bone, connective tissue, skin and breast (disorder)"
255068000,"Carcinoma of bone, connective tissue, skin and breast","Carcinoma of bone, connective tissue, skin and breast (disorder)"
254844000,Malignant phyllodes tumor of breast,Malignant phyllodes tumor of breast (disorder)
